Filename,Meansize(mm)
Run354_Image08218_Crib0413.png,38.95
Run354_Image08218_Crib0414.png,40.45
Run354_Image08219_Crib0415.png,40.04
Run354_Image08219_Crib0416.png,41.63
Run354_Image08220_Crib0417.png,40.53
Run354_Image08220_Crib0418.png,41.18
Run354_Image08221_Crib0419.png,40.43
Run354_Image08221_Crib0420.png,41.31
Run354_Image08222_Crib0421.png,40.89
Run354_Image08222_Crib0422.png,41.26
Run354_Image08223_Crib0423.png,41.74
Run354_Image08223_Crib0424.png,41.32
Run354_Image08224_Crib0425.png,41.55
Run354_Image08224_Crib0426.png,40.15
Run354_Image08225_Crib0427.png,39.87
Run354_Image08225_Crib0428.png,40.30
Run354_Image08226_Crib0429.png,40.94
Run354_Image08226_Crib0430.png,40.97
Run354_Image08227_Crib0431.png,40.64
Run354_Image08227_Crib0432.png,41.89
Run354_Image08228_Crib0433.png,40.62
Run354_Image08228_Crib0434.png,39.87
Run354_Image08229_Crib0435.png,40.96
Run354_Image08229_Crib0436.png,41.12
Run354_Image08230_Crib0437.png,41.40
Run354_Image08230_Crib0438.png,38.74
Run354_Image08231_Crib0439.png,39.75
Run354_Image08231_Crib0440.png,39.53
Run354_Image08232_Crib0441.png,40.02
Run354_Image08232_Crib0442.png,40.28
Run354_Image08233_Crib0443.png,41.38
Run354_Image08233_Crib0444.png,41.86
Run354_Image08234_Crib0445.png,39.88
Run354_Image08234_Crib0446.png,38.70
Run354_Image08235_Crib0447.png,39.43
Run354_Image08235_Crib0448.png,38.88
Run354_Image08236_Crib0449.png,39.44
Run354_Image08236_Crib0450.png,40.25
Run354_Image08237_Crib0451.png,41.36
Run354_Image08237_Crib0452.png,40.60
Run354_Image08238_Crib0453.png,41.10
Run354_Image08238_Crib0454.png,41.89
Run354_Image08239_Crib0455.png,40.06
Run354_Image08240_Crib0456.png,41.14
Run354_Image08240_Crib0457.png,40.43
Run354_Image08240_Crib0458.png,40.29
Run354_Image08241_Crib0459.png,39.55
Run354_Image08242_Crib0460.png,39.42
Run354_Image08242_Crib0461.png,39.79
Run354_Image08243_Crib0462.png,40.68
Run354_Image08243_Crib0463.png,40.19
Run354_Image08244_Crib0464.png,39.58
Run354_Image08244_Crib0465.png,39.15
Run354_Image08245_Crib0466.png,37.99
Run354_Image08246_Crib0468.png,41.12
Run354_Image08246_Crib0469.png,42.11
Run354_Image08247_Crib0470.png,40.96
Run354_Image08247_Crib0471.png,41.30
Run354_Image08248_Crib0472.png,42.08
Run354_Image08248_Crib0473.png,40.37
Run354_Image08249_Crib0474.png,40.65
Run354_Image08249_Crib0475.png,40.45
Run354_Image08250_Crib0476.png,39.91
Run354_Image08250_Crib0477.png,39.32
Run354_Image08251_Crib0478.png,40.96
Run354_Image08251_Crib0479.png,41.99
Run354_Image08252_Crib0480.png,41.23
Run354_Image08252_Crib0481.png,40.61
Run354_Image08253_Crib0482.png,40.51
Run354_Image08253_Crib0483.png,40.82
Run354_Image08254_Crib0484.png,41.73
Run354_Image08254_Crib0485.png,40.17
Run354_Image08255_Crib0486.png,40.90
Run354_Image08255_Crib0487.png,40.53
Run354_Image08256_Crib0488.png,41.19
Run354_Image08256_Crib0489.png,39.77
Run354_Image08257_Crib0490.png,39.86
Run354_Image08257_Crib0491.png,42.01
Run354_Image08258_Crib0492.png,39.75
Run354_Image08258_Crib0493.png,40.67
Run354_Image08259_Crib0494.png,39.38
Run354_Image08259_Crib0495.png,40.08
Run354_Image08260_Crib0496.png,39.68
Run354_Image08260_Crib0497.png,39.59
Run354_Image08261_Crib0498.png,40.63
Run354_Image08261_Crib0499.png,40.15
Run354_Image08262_Crib0500.png,39.53
Run354_Image08263_Crib0501.png,41.12
Run354_Image08263_Crib0502.png,39.73
Run354_Image08264_Crib0503.png,38.98
Run354_Image08264_Crib0504.png,39.20
Run354_Image08265_Crib0505.png,41.42
Run354_Image08265_Crib0506.png,40.80
Run354_Image08266_Crib0507.png,39.60
Run354_Image08266_Crib0508.png,40.78
Run354_Image08267_Crib0509.png,39.63
Run354_Image08267_Crib0510.png,40.79
Run354_Image08268_Crib0511.png,40.72
Run354_Image08268_Crib0512.png,40.23
Run354_Image08269_Crib0513.png,39.84
Run354_Image08269_Crib0514.png,40.39
Run354_Image08270_Crib0515.png,40.96
Run354_Image08270_Crib0516.png,39.95
Run354_Image08271_Crib0517.png,39.03
Run354_Image08271_Crib0518.png,41.53
Run354_Image08272_Crib0519.png,40.19
Run354_Image08272_Crib0520.png,39.02
Run354_Image08273_Crib0521.png,40.16
Run354_Image08273_Crib0522.png,39.01
Run354_Image08274_Crib0523.png,39.17
Run354_Image08274_Crib0524.png,38.53
Run354_Image08275_Crib0525.png,39.06
