crib_0000000_0000000_974_1435.png,crib_0000001_0000002_3651_4090.png,crib_0000031_0000032_63744_64206.png,crib_0000033_0000033_66439_66818.png,crib_0000059_0000059_118708_119155.png,crib_0000206_0000206_413557_413973.png,crib_0004943_0004943_9887118_9887493.png,crib_0009356_0009356_18713198_18713637.png,crib_0020050_0020051_20050688_20051131.png,crib_0020053_0020053_20053341_20053798.png
22.627,20.573,51.442,25.353,23.943,8.86,12.369,7.5,52.089,23.345
14.422,27.5,12.298,25,23.022,49.041,5.099,25.5,16.621,19.416
35.228,27.866,45.398,7.379,40.577,10.5,22.361,9.179,6.964,18.111
17.804,28.469,8.515,9.006,26.505,15.66,55.154,32.962,19.558,58.694
48.836,18.608,12.166,12.693,35.641,11.102,38.419,40.215,8.846,35.355
20.224,5.657,43.342,16.455,36.031,13.463,49.366,28.2,20.718,10
13.038,7.159,38.21,25.23,60.019,20.012,31.145,29.026,23.42,23.537
11.662,7.81,25.08,40.022,32.004,23.135,27.166,21.506,32.062,25.08
13.416,16,16.008,18.361,53.64,20.887,18.028,28.32,29.206,12.53
24.759,16.194,11.102,7.52,10,46.503,28.636,22.946,18.111,20.1
35,20.718,28,37.339,16.125,27.785,30.017,26.101,22.277,49.396
43.174,29.538,26.538,34.392,19.039,28.539,16.492,20.353,41.608,36.235
13.342,15.508,22.322,28.736,16.508,17.103,45.88,5.523,7.433,28.792
12.083,14.089,15.66,31.029,37.503,40.636,32.249,30.927,41.548,48.703
10.05,15.532,27.951,29.652,25.461,28,26.173,43.417,12.981,40.311
11,16.56,24.824,9.809,25.045,25.02,16.492,22.589,18.2,49.396
18.385,29.347,27.505,6.472,30.663,42.252,9.055,14.534,16.378,21.213
12.728,17.923,15.788,25.734,45.962,18.828,35.171,24.187,24.824,25.495
19.313,8.5,31.516,11.609,16.008,38.939,26.019,13.5,22.594,66.219
19.209,18.062,47.671,18.196,25.578,17.088,18.028,10.44,4.95,36.77
26.833,9.605,33.144,24.703,11.281,29.004,24.759,31.579,4.924,15.62
13.892,15.977,41.027,5.706,29.602,45.277,18.028,42.202,12.5,32.696
9.22,16.008,30.203,5.088,14.151,40.719,22.672,30.842,26.101,27.459
19,22.902,20.056,21.731,21.691,21.36,19.416,41.437,15.652,28.636
24.166,13.153,12.728,18.028,21.506,10.77,23.345,33.049,10.77,20.616
15.811,24.824,19.164,16.251,9.552,23.005,26.019,14.714,11.715,20.396
17.493,3.5,39.217,18.679,24.739,31.101,34.482,26.235,13.01,36.674
52.202,12.728,39.217,13.92,36.014,33.245,23.087,20.555,7.159,36.401
18,31.085,15.7,27.431,12.379,40.577,48.166,18.248,8.515,14.866
12.53,15.652,32.65,16.576,42.503,30.373,32.249,9.513,21.024,27.785
10.296,27.065,17.103,7,55.502,49.064,26,43.549,8.944,31.321
11.662,16.508,26.879,23.956,43.855,48.757,26.907,19.474,17.066,11.18
32.202,11.068,40.651,27.522,26.618,6.021,9.22,11.543,14.431,10.296
31.953,29.069,23.817,19.067,29.904,37.713,27.803,22.699,12.01,10.44
26.683,26.542,33.365,17.133,37.643,38.288,29.732,19.164,11,22.804
33.242,19.039,53.446,8.333,22.344,28.004,30.806,44.749,13.647,33.015
20.396,11,22.142,17.754,27.459,31.847,29.732,18.507,8.559,55.036
6.083,34.504,26.005,30.641,24.042,25.005,38.328,28.57,12.176,55.731
6.403,22.091,12.369,15.467,35.089,22.94,33.106,28.16,7.28,47.265
44.147,10.689,3.536,19.821,54.589,47.127,30.414,19.558,17,52
25.08,4.528,13,17.867,31.293,13.038,23,36.235,9.552,35.341
37.014,12.083,27.295,11.629,9.014,27.893,36.222,7.382,20.718,32.558
29.069,12.083,28.071,47.335,9.657,29.602,36.715,28,4.743,44.102
7.071,15.5,11.102,29.734,14,20.887,14.866,28.849,12,26.173
6.325,20.893,54.037,26.401,21.541,22.192,18.974,29.841,11.543,46
6,37.121,21.225,32.361,45.401,30.15,30.463,30.992,6.021,18.788
62.394,12.54,18.608,25.002,28.306,15.628,54.037,33.049,29.026,43.278
30.265,12.258,4.743,23.307,50.085,31.401,38.328,25.125,19.313,27.459
32.016,21.095,13.829,17.978,19.007,41.548,25.318,34.3,10.794,34.059
36,13.038,13.463,32.335,25.676,13.647,67.007,31.325,43.186,30.806
12.083,9.014,20.006,18.439,22.847,15,22.804,21.506,37.567,30.676
38,16.621,17.734,25.009,20.893,39.217,43.417,12.01,34.731,34.713
32.65,4.743,70.889,31.556,18.173,6.5,41.593,17.923,27.613,24.083
17.263,18.581,9.301,22.689,29.652,36.459,43.046,12.01,9.513,46.271
23.022,18.2,39.122,11.823,24,42.426,17.804,12.59,13.5,24.352
17.493,14,21.645,4.773,18.722,24.151,33.242,35.341,31.341,25.06
22.472,11.045,28.636,16.035,22,26.405,41.195,20.248,22.411,29.428
12.042,24.602,44.936,18.953,26.968,10.124,36.715,12.021,38.328,27.019
15.297,40.46,38.003,24.288,11,11.424,33.061,23.033,6.671,22.091
12.728,14.151,54.037,28.341,26.571,37.583,52,23.049,13.124,18.974
19.105,14.009,19.602,18.962,25.145,19.039,24.021,27.189,8,13.892
32.573,17.529,23.77,23.24,64.041,28.504,34.886,12.54,11.511,15
11.402,10.689,39.579,19.669,26.575,25.045,29.833,18.446,26.196,35
32.016,17.103,35.107,25.805,46.511,21.024,25.318,14.08,23.087,15
11.402,39.803,26.077,23.9,10.817,23.901,38.91,13.21,16.8,42.45
24,23.243,80.145,30.423,31.325,24.581,49.497,25.773,32.319,27.074
26.627,6.5,25.461,12.401,24,25.125,22.361,10.595,20.248,29.275
31.623,18.028,43.511,33.668,29.004,41.815,22.804,32.504,31.257,36.125
17.464,22.136,57.02,23.364,39.881,11.011,28.425,36.531,17.007,22.204
19.416,9.708,28.692,14.441,17.066,11.011,38.328,4.5,12.349,17.205
19.698,25.812,24.829,19.939,27.166,27.722,29.732,17.557,26.405,27.459
40.706,4.61,18.788,35.904,21.054,13.342,33.061,21.932,10.308,27.731
19.105,18.069,37.845,20.377,17.903,10.512,30.017,31.036,7.159,50
74.33,18.608,28.97,22.632,22.361,17.27,28.302,14.916,9.552,52.839
54.562,11.314,12.54,20.243,30.451,14.009,37.108,35.5,6.576,29.732
48.508,17.464,14.318,13.618,47.542,29.652,44.102,29.841,16.492,52.01
26.401,20.131,14.431,32.503,20.597,20.261,19,18.5,10.012,31
42,18.385,16.56,22.04,19.007,19.912,7,17.755,9.124,16
45.044,28.745,26.196,40.667,20.261,22.327,52.953,20.427,12.083,48.754
30.414,29.262,4.528,35.358,10.512,11.543,44.147,18.028,28.324,51.624
55.036,16.568,32.07,32.743,43.165,9.014,44.283,15.977,31.149,6.325
38.118,37.165,9.341,11.005,33.89,23.022,24.042,21.645,13.153,23.345
53.814,26.306,49.591,23.219,18.507,40.528,10,17.357,14.866,36.401
60.902,9.22,15.692,21.218,35.795,36.139,33.061,31.325,10.63,23.324
15.133,12.5,16.348,40.05,27.987,10,60.828,17,92.005,33.422
15.232,11.705,13.5,40.339,11.511,18.358,39.85,19.602,17.923,16.643
11.402,4.61,21.477,16.67,25.544,22.361,35.903,12.54,17.529,17.029
15.556,20.304,18,17.601,25.5,22.361,28.018,19.647,12.748,21.213
16.031,10.607,23.548,21.667,23.345,24.042,18.028,24.581,11.5,20.396
37.336,7.762,31.004,32.931,29.232,10.77,33.615,27.295,5.385,38.419
32.65,18.507,56.036,26.2,31.468,18.111,22.361,33.155,8.016,16.763
10.05,10.124,66.568,39.067,41.608,20.616,40.447,24.151,4.95,41.725
38.897,27.518,29.428,45.143,24.622,15,21.587,20.5,8.139,33.422
12.083,22.277,29.504,14.701,19.799,38.118,19.799,14.534,27.372,22.023
36.715,15.66,41.149,19.163,38.275,37.216,43.29,24.597,17.205,17
24.083,30.083,16.14,21.442,39.054,36.056,31.064,17.951,5.523,28.018
22.847,13.509,43.503,23.324,24,30.067,27.074,17.678,8.078,18.028
22.561,18.868,42.048,15.67,38.917,14.765,43.29,18.31,6.265,33.287
11.045,24.254,29.069,28.284,25.125,26.306,28.071,10.5,22.472,13.416
30.265,27.5,45.069,17.17,23.087,24.021,59.228,16.325,14.5,17
31.953,18.561,35.004,15.723,44.839,25.495,50.16,11.413,15.524,35.355
10.44,17.183,10.5,14.599,25.125,22.825,16.763,11.102,33.144,24.413
27.166,12.104,36.586,17.82,50.747,34.234,12.728,19.235,7.211,46.011
19.105,39.56,13.01,27.915,23.548,28.178,42.19,21.708,7.28,26.833
